,City,Country,Lat,Lng,Hotel Name
361,edd,ER,13.93,41.69,
362,basco,PH,20.45,121.97,Nathaniel's Lodge
363,bam,IR,29.11,58.36,Parsian Bam Hotel
364,nabire,ID,-3.37,135.48,Mahavira Hotel
365,seymchan,RU,62.88,152.43,
366,port blair,CD,-7.03,29.76,
367,opuwo,,-18.06,13.84,Opuwo Country Lodge
368,tarauaca,BR,-8.16,-70.77,Ouro Hotel
369,xai-xai,MZ,-25.05,33.64,
370,limoges,FR,45.75,1.33,Hôtel Le Saint Eloi Logis & SPA - Restaurant C. Pasquier
371,flinders,AU,-34.58,150.86,Barrack Point Holidays
372,glendive,US,47.11,-104.71,Astoria Hotel
373,richards bay,US,46.84,-95.91,Fairfield Inn & Suites by Marriott Detroit Lakes
374,hun,LY,29.13,15.95,Al Nakhel Hotel
375,pacific grove,US,38.48,-90.74,Comfort Inn Near Six Flags St. Louis
376,murgab,TM,37.5,61.97,
377,korla,CN,41.76,86.15,Kangcheng Jian Guo International Hotel
378,plouzane,FR,48.38,-4.62,Chambre d'hôtes Porsmilin
379,mamallapuram,IN,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
380,rio gallegos,GR,38.3,21.78,Airotel Achaia Beach
381,muscat,OM,23.61,58.59,"Al Bustan Palace, A Ritz-Carlton Hotel"
382,bubaque,GW,11.28,-15.83,Ponta Anchaca
383,tecpan,GT,14.76,-90.99,Raqui Lodge
384,fortuna,US,40.6,-124.16,Bear River Casino Resort
385,suluq,LY,31.67,20.25,
386,isangel,VU,-19.55,169.27,Tanna Ikamir Bungalows and Accommodation
387,kurchum,KZ,48.57,83.65,
388,kokoda,PG,-8.88,147.74,Kokoda Track Lodging
389,pangody,RU,65.85,74.49,
390,comodoro rivadavia,BR,-13.66,-59.79,Rossi Hotel
391,lensk,RU,60.73,114.93,Economy Hotel Fortuna
392,murray bridge,US,40.67,-111.89,Holiday Inn Express & Suites Salt Lake City West Valley
393,francistown,BW,-21.17,27.51,Cresta Thapama
394,roanoke rapids,US,37.27,-79.94,Courtyard by Marriott Roanoke Airport
395,vila franca do campo,PT,42.03,-8.16,Hotel Castrum Villae
396,olafsvik,IS,64.89,-23.71,Hotel Olafsvik
397,huntington,US,38.42,-82.45,Fairfield Inn & Suites by Marriott Huntington
398,parana,AR,-31.73,-60.52,Hotel Howard Johnson Plaza Resort & Casino Mayorazgo
399,oranjemund,,-28.55,16.43,
400,sao mateus,IN,20.51,76.21,BULDANA URBAN RESIDENCY CLUB
401,kungurtug,RU,50.6,97.52,
402,ampanihy,MG,-24.7,44.75,Angora Hotel
403,tabou,CI,4.42,-7.35,Hotel Les Rochers
404,benghazi,LY,32.12,20.07,Tibesti Hotel
405,fukue,JP,32.69,128.84,GOTO TSUBAKI HOTEL
406,juneau,US,58.3,-134.42,Four Points by Sheraton Juneau
407,powell river,US,40.16,-83.08,
408,thinadhoo,MV,0.53,72.93,
409,sao joao da barra,IN,20.51,76.21,BULDANA URBAN RESIDENCY CLUB
410,plettenberg bay,DE,51.22,7.88,Hotel Weidenhof
411,prado,BR,-17.34,-39.22,Cahy Praia Hotel
412,jiuquan,CN,39.74,98.52,Jiuquan Hotel
413,rio grande,GR,38.3,21.78,Airotel Achaia Beach
414,longonjo,AO,-12.91,15.25,
415,ojinaga,MX,29.57,-104.42,Three Palms Inn
416,floresta,BR,-8.6,-38.57,Hotel Parque Das Caraibeiras
417,barra,BR,-11.09,-43.14,Hotel Barra Palace
418,pervomayskiy,RU,53.25,40.29,
419,antalaha,MG,-14.9,50.28,Belle rose beach Hotel
